1	и	и	conj	35801.8	37546.0	39187.7
2	в	в	pr	31374.2	23943.5	25005.7
3	не	не	part	18028.0	21154.3	22921.5
4	на	на	pr	15867.3	17169.9	16411.7
5	я	я	spro	12684.4	17022.7	17090.5
6	быть	быть	v	12160.7	12467.9	13492.8
7	он	он	spro	11791.1	19708.0	18587.1
8	с	с	pr	11311.9	11186.1	10974.4
9	что	что	conj	8354.0	8155.2	8313.9
10	а	а	conj	8198.0	10298.0	10772.2
11	по	по	pr	5786.7	4506.0	4616.7
12	это	это	spro	5707.8	6038.4	6137.5
13	она	она	spro	5592.4	8375.6	8348.8
14	этот	этот	apro	5414.0	5140.8	4817.3
15	к	к	pr	5389.0	5698.6	5318.7
16	но	но	conj	5381.4	5698.3	6201.0
17	они	они	spro	4850.0	5869.7	5636.6
18	мы	мы	spro	4704.8	4525.6	4482.9
19	как	как	conj	4403.7	4658.0	4819.5
20	из	из	pr	4314.1	3804.5	3846.3
21	у	у	pr	4306.1	5164.8	5315.6
22	который	который	apro	4209.0	2800.6	2780.2
23	то	то	spro	3964.4	3161.1	3303.3
24	за	за	pr	3904.1	4502.2	4400.6
25	свой	свой	apro	3825.5	3887.9	3824.5
26	что	что	spro	3810.2	5126.0	5073.6
27	весь	весь	apro	3786.3	4011.8	3985.9
28	год	год	s	3727.5	1225.1	1631.8
29	от	от	pr	3672.5	3490.4	3551.8
30	так	так	advpro	3440.4	4226.3	4095.0
31	о	о	pr	3407.1	2619.2	2524.8
32	для	для	pr	3229.3	1784.3	1764.1
33	ты	ты	spro	3171.2	5889.3	5881.9
34	же	же	part	3144.3	3778.4	3961.8
35	все	все	spro	3106.8	4022.1	4294.9
36	тот	тот	apro	2967.1	2597.8	2589.0
37	мочь	мочь	v	2912.3	2905.8	2883.4
38	вы	вы	spro	2906.4	5250.0	4505.1
39	человек	человек	s	2723.0	3236.6	2799.9
40	такой	такой	apro	2696.8	2580.3	2650.9
41	его	его	apro	2577.9	2705.2	2531.3
42	сказать	сказать	v	2396.6	5313.8	4686.2
43	только	только	part	2391.7	2651.0	2452.0
44	или	или	conj	2345.0	1459.9	1783.4
45	еще	еще	adv	2323.9	2974.4	3088.3
46	бы	бы	part	2322.4	2829.3	3026.3
47	себя	себя	spro	2272.8	2664.4	2879.3
48	один	один	apro	2245.7	2231.6	2183.2
49	как	как	advpro	2212.7	2746.9	2714.3
50	уже	уже	adv	2179.2	2294.7	2548.3
51	до	до	pr	2061.1	1764.1	1926.0
52	время	время	s	2015.7	1597.3	1590.1
53	если	если	conj	1998.1	1782.2	1864.3
54	сам	сам	apro	1986.3	2118.7	2340.1
55	когда	когда	conj	1895.7	2193.2	2160.8
56	другой	другой	apro	1837.3	1564.0	1564.9
57	вот	вот	part	1785.1	2814.6	2670.7
58	говорить	говорить	v	1755.0	2595.2	2241.0
59	наш	наш	apro	1731.8	1299.2	1425.9
60	мой	мой	apro	1720.3	1765.1	1930.4
61	знать	знать	v	1713.8	2504.1	2591.9
62	стать	стать	v	1621.8	1862.4	1728.9
63	при	при	pr	1550.8	684.7	751.4
64	чтобы	чтобы	conj	1479.7	1459.4	1451.2
65	дело	дело	s	1412.1	1399.0	1377.6
66	жизнь	жизнь	s	1389.8	1109.9	1304.2
67	кто	кто	spro	1374.8	1621.6	1732.3
68	первый	первый	anum	1345.6	943.1	1024.6
69	очень	очень	adv	1286.8	1263.5	1199.9
70	два	два	num	1285.1	1254.5	1281.0
71	день	день	s	1258.4	1277.8	1302.1
72	ее	ее	apro	1219.2	1329.0	1174.2
73	новый	новый	a	1217.5	711.3	662.6
74	рука	рука	s	1200.6	2468.9	2037.5
75	даже	даже	part	1179.8	1285.2	1366.1
76	во	во	pr	1167.8	906.4	1014.1
77	со	со	pr	1151.3	1223.8	1210.2
78	раз	раз	s	1131.8	1237.5	1323.3
79	где	где	advpro	1129.2	1282.9	1345.8
80	там	там	advpro	1128.1	1428.0	1485.8
81	под	под	pr	1126.0	1405.5	1392.4
82	можно	можно	adv	1125.9	778.6	839.4
83	ну	ну	part	1114.6	2007.1	1862.0
84	какой	какой	apro	1091.7	1434.0	1474.8
85	после	после	pr	1080.1	783.6	763.8
86	их	их	apro	1076.0	665.4	640.9
87	работа	работа	s	1058.3	661.5	583.8
88	без	без	pr	1018.8	1003.2	1169.5
89	самый	самый	apro	1007.4	980.3	906.3
90	потом	потом	advpro	1006.1	1538.3	1393.5
91	надо	надо	adv	993.2	1348.1	1497.5
92	хотеть	хотеть	v	991.3	1344.0	1372.7
93	ли	ли	part	981.7	1014.9	1192.1
94	слово	слово	s	967.9	989.9	1054.5
95	идти	идти	v	957.1	1629.5	1347.5
96	большой	большой	a	944.4	925.5	856.5
97	должен	должен	a	944.2	669.1	647.9
98	место	место	s	926.6	860.9	891.7
99	иметь	иметь	v	906.7	503.0	607.8
100	ничто	ничто	spro	902.8	1428.5	1376.5
